period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2025,46,IPF4689203,LOYOLA UNIVERSITY CHICAGO,Loyola University Chicago,3151820.0,8,8,2429940.0,4,0,8,NIH ORG_DEPT (contact PI),n/a,393978.0,303742.0,393978.0,393978.0,77.1,True,43,42,41
FY2025,47,IPF1524003,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OU Health Sciences Center,3107031.0,4,4,2744531.0,3,0,5,NIH ORG_DEPT (contact PI),n/a,621406.0,548906.0,776758.0,776758.0,88.3,True,51,39,48
FY2025,48,IPF513807,UNIVERSITY OF SOUTH FLORIDA,University of South Florida,3015110.0,8,7,1835134.0,5,0,8,NIH ORG_DEPT (contact PI),n/a,376889.0,229392.0,430730.0,376889.0,60.9,True,43,48,36
FY2025,49,IPF578302,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,UTHSC Memphis,3010432.0,1,1,3010432.0,1,0,2,NIH ORG_DEPT (contact PI),n/a,1505216.0,1505216.0,3010432.0,3010432.0,100.0,False,67,37,61
FY2025,50,IPF353201,VIRGINIA COMMONWEALTH UNIVERSITY,VCU,2599927.0,4,4,1596336.0,3,0,4,NIH ORG_DEPT (contact PI),n/a,649982.0,399084.0,649982.0,649982.0,61.4,False,51,52,48
FY2025,51,IPF578002,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri,2552689.0,5,5,2307275.0,4,0,3,NIH ORG_DEPT (contact PI),n/a,850896.0,769092.0,510538.0,510538.0,90.4,False,49,45,41
FY2025,52,IPF46001,MEDICAL COLLEGE OF WISCONSIN,Medical College of Wisconsin,2422755.0,7,7,1749095.0,3,0,9,NIH ORG_DEPT (contact PI),n/a,269195.0,194344.0,346108.0,346108.0,72.2,True,46,50,48
FY2025,53,IPF1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Penn State Hershey,2251569.0,4,4,2084769.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,750523.0,694923.0,562892.0,562892.0,92.6,False,51,46,48
FY2025,54,IPF9087701,UNIVERSITY OF WASHINGTON,University of Washington,2227786.0,5,5,601359.0,1,0,6,NIH ORG_DEPT (contact PI),n/a,371298.0,100226.0,445557.0,445557.0,27.0,True,49,65,61
FY2025,55,IPF578403,UNIVERSITY OF TEXAS AT AUSTIN,UT Austin,2142597.0,4,4,685125.0,1,0,6,NIH ORG_DEPT (contact PI),n/a,357100.0,114188.0,535649.0,535649.0,32.0,True,51,62,61
FY2025,56,IPF894901,BOSTON UNIVERSITY MEDICAL CAMPUS,BU Medical Campus,1995084.0,6,6,625200.0,2,0,8,NIH ORG_DEPT (contact PI),n/a,249386.0,78150.0,332514.0,332514.0,31.3,True,48,64,55
FY2025,57,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,51,51,48
FY2025,58,IPF8738101,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont,1793684.0,4,3,1793684.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,448421.0,448421.0,597895.0,448421.0,100.0,False,51,49,41
FY2025,59,IPF1274603,EAST TENNESSEE STATE UNIVERSITY,East Tennessee State,1777865.0,4,4,1551365.0,3,0,4,NIH ORG_DEPT (contact PI),n/a,444466.0,387841.0,444466.0,444466.0,87.3,False,51,54,48
FY2025,60,IPF578104,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Nebraska Medical Center,1515785.0,4,4,913769.0,2,0,3,NIH ORG_DEPT (contact PI),n/a,505262.0,304590.0,378946.0,378946.0,60.3,False,51,60,55
FY2025,61,IPF1523902,UNIVERSITY OF CINCINNATI,University of Cincinnati,1340506.0,4,4,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,335126.0,0.0,335126.0,335126.0,0.0,False,51,70,70
FY2025,62,IPF577703,UNIVERSITY OF ILLINOIS AT CHICAGO,Illinois Chicago,1129762.0,2,2,1129762.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,564881.0,564881.0,564881.0,564881.0,100.0,False,62,56,55
FY2025,63,IPF1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UConn Health,1115870.0,2,2,1115870.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,557935.0,557935.0,557935.0,557935.0,100.0,False,62,57,55
FY2025,64,IPF218601,CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve,1029348.0,2,2,1029348.0,2,0,3,NIH ORG_DEPT (contact PI),n/a,343116.0,343116.0,514674.0,514674.0,100.0,False,62,58,55
FY2025,65,IPF3972901,UNIVERSITY OF IOWA,University of Iowa,839012.0,2,2,683512.0,1,0,3,NIH ORG_DEPT (contact PI),n/a,279671.0,227837.0,419506.0,419506.0,81.5,False,62,63,61
FY2025,66,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,67,61,61
FY2025,67,HARVARD_ENTITIES,Harvard University entities,Harvard University entities,598515.0,1,1,598515.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,598515.0,598515.0,598515.0,598515.0,100.0,False,67,66,61
FY2025,68,HMS,Harvard Medical School,Harvard Medical School,598515.0,1,1,598515.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,598515.0,598515.0,598515.0,598515.0,100.0,False,67,66,61
FY2025,69,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,598164.0,2,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,149541.0,0.0,299082.0,299082.0,0.0,False,62,70,70
FY2025,70,IPF10000858,CLEVELAND CLINIC LERNER COM-CWRU,Cleveland Clinic,585718.0,1,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,292859.0,0.0,585718.0,585718.0,0.0,False,67,70,70
FY2025,71,IPF1003201,BROWN UNIVERSITY,Brown University,534680.0,1,1,534680.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,534680.0,534680.0,534680.0,534680.0,100.0,False,67,68,61
FY2025,72,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,451657.0,1,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,225828.0,0.0,451657.0,451657.0,0.0,False,67,70,70
FY2025,73,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,376814.0,1,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,188407.0,0.0,376814.0,376814.0,0.0,False,67,70,70
FY2025,74,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,355376.0,1,1,355376.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,355376.0,355376.0,355376.0,355376.0,100.0,False,67,69,61
FY2025,75,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,354852.0,3,3,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,118284.0,0.0,118284.0,118284.0,0.0,False,61,70,70
FY2025,76,IPF578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,UTHealth Houston,344202.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,344202.0,0.0,344202.0,344202.0,0.0,False,67,70,70
FY2025,77,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,336630.0,1,1,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,112210.0,0.0,336630.0,336630.0,0.0,False,67,70,70
FY2025,78,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,196454.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,196454.0,0.0,196454.0,196454.0,0.0,False,67,70,70
FY2025,79,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,174988.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,174988.0,0.0,174988.0,174988.0,0.0,False,67,70,70
FY2025,80,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,163058.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,163058.0,0.0,163058.0,163058.0,0.0,False,67,70,70
