period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2025,corroborated,All surgical departments (narrow),IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF10005742,16234028.0,30,29,12561019.0,22,0,18,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF6959701,7724752.0,17,15,5711026.0,11,0,13,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1520001,2403030.0,5,5,2209062.0,4,0,5,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1518602,4356652.0,9,9,3779180.0,6,0,8,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF4155008,638872.0,1,1,638872.0,1,0,1,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF3617301,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),IPF1525701,4866989.0,9,9,2892604.0,5,0,7,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),MEEI,18222696.0,31,30,9350221.0,17,0,21,majority,0.916,100.0,91.9
FY2025,corroborated,All surgical departments (narrow),MGB_CORE,73761920.0,100,94,35334956.0,61,0,68,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),MGH,82886115.0,125,77,37214090.0,72,0,52,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),BWH,59836390.0,82,45,31593775.0,55,0,31,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF10040927,42788656.0,91,52,29100656.0,47,0,37,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF10068583,2330536.0,6,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF861001,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF4976101,21772824.0,37,25,11931895.0,22,0,18,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1504801,52959174.0,93,56,41130656.0,64,0,31,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF5079202,54272563.0,45,27,13335274.0,22,0,22,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF615001,10033233.0,18,12,8136928.0,14,0,7,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1499101,49633125.0,42,21,8932633.0,16,0,11,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),BIDMC,19840692.0,34,20,13256463.0,21,0,14,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1225501,21633137.0,41,26,18299360.0,37,0,16,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF7893501,5540387.0,10,6,4002105.0,6,0,3,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1531401,66030.0,1,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF3058203,8466708.0,12,7,8466708.0,12,0,6,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1495302,10277018.0,24,13,8411534.0,18,0,8,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF4976105,402401.0,1,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF10005742,32277232.0,66,36,24462143.0,47,0,20,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF6959701,15384927.0,37,19,10907443.0,20,0,14,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1520001,5297711.0,12,7,4517713.0,8,0,7,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1518602,8589021.0,19,12,7783820.0,13,0,10,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF4155008,994432.0,2,2,994432.0,2,0,1,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF3617301,901084.0,3,2,703116.0,1,0,2,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),IPF1525701,9286997.0,20,13,6347528.0,11,0,11,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),MEEI,36578099.0,59,35,17007122.0,33,0,24,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,All surgical departments (narrow),MGB_CORE,142722505.0,207,122,68807865.0,127,0,83,majority,0.916,100.0,91.9
