period,is_ranked,is_reconstructed,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,is_rollup,rank_if_single_entity,rank_award_years,rank_award_years_if_single_entity,rank_r01_funding,rank_r01_funding_if_single_entity,rank_r01_award_years,rank_r01_award_years_if_single_entity,n_ranked
FY2024_FY2025,True,False,94.0,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,391193.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,391193.0,0.0,391193.0,195596.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,95.0,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,363848.0,2,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,90962.0,0.0,181924.0,181924.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,96.0,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,326116.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,326116.0,0.0,326116.0,163058.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,97.0,IPF5390304,UNIVERSITY OF MISSISSIPPI MED CTR,Mississippi Medical Center,246794.0,2,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,123397.0,0.0,123397.0,123397.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,98.0,IPF578705,UNIVERSITY OF PUERTO RICO MED SCIENCES,Puerto Rico Medical Sciences,243119.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,243119.0,0.0,243119.0,243119.0,0.0,False,False,,95.0,,88.0,,88.0,,108
FY2024_FY2025,True,False,99.0,IPF8240301,TEMPLE UNIV OF THE COMMONWEALTH,Temple University,230956.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,230956.0,0.0,230956.0,230956.0,0.0,False,False,,95.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,100.0,IPF3617301,Boston Medical Center,Boston Medical Center,197968.0,2,1,0.0,0,0,1,Reconstructed from publication affiliations (lower bound),corroborated,197968.0,0.0,197968.0,98984.0,0.0,False,False,,83.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF4976105,Mayo Clinic Jacksonville,Mayo Clinic Jacksonville,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF3736101,Moffitt Cancer Center,Moffitt Cancer Center,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF861001,Fred Hutch (pre-2022),Fred Hutch (pre-2022),0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF1531401,Seattle Children's,Seattle Children's,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF4155008,Feinstein Institutes for Medical Research,Feinstein Institutes for Medical Research,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,IPF10068583,Fred Hutch,Fred Hutch,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,MEEI,Mass Eye and Ear,Mass Eye and Ear,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
FY2024_FY2025,True,True,101.0,DFCI,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,0.0,0,0,0.0,0,0,0,Reconstructed from publication affiliations (lower bound),corroborated,,,,,,False,False,,101.0,,88.0,,88.0,,108
