period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,32,IPF1199905,UNIVERSITY OF COLORADO DENVER,Colorado Denver,33999309.0,74,27,16415924.0,42,0,31,NIH ORG_DEPT (contact PI),n/a,1096752.0,529546.0,1259234.0,459450.0,48.3,True,31,35,29
FY2021_FY2025,33,IPF577806,INDIANA UNIVERSITY INDIANAPOLIS,Indiana Indianapolis,33022579.0,76,37,22695258.0,39,0,33,NIH ORG_DEPT (contact PI),n/a,1000684.0,687735.0,892502.0,434508.0,68.7,True,29,28,32
FY2021_FY2025,34,IPF514002,UNIVERSITY OF UTAH,University of Utah,30160831.0,81,36,20607123.0,41,0,32,NIH ORG_DEPT (contact PI),n/a,942526.0,643973.0,837801.0,372356.0,68.3,True,28,32,31
FY2021_FY2025,35,IPF1413601,UNIVERSITY OF CHICAGO,University of Chicago,28868179.0,58,22,19443736.0,38,0,21,NIH ORG_DEPT (contact PI),n/a,1374675.0,925892.0,1312190.0,497727.0,67.4,True,38,33,33
FY2021_FY2025,36,IPF578404,UT SOUTHWESTERN MEDICAL CENTER,UT Southwestern,28238977.0,71,29,22133616.0,51,0,24,NIH ORG_DEPT (contact PI),n/a,1176624.0,922234.0,973758.0,397732.0,78.4,True,32,29,22
FY2021_FY2025,37,IPF578206,UNIV OF NORTH CAROLINA CHAPEL HILL,UNC Chapel Hill,28095979.0,56,21,9068596.0,18,0,21,NIH ORG_DEPT (contact PI),n/a,1337904.0,431838.0,1337904.0,501714.0,32.3,True,39,45,47
FY2021_FY2025,38,IPF2793601,UNIVERSITY OF KENTUCKY,University of Kentucky,27803771.0,49,17,9047427.0,19,0,15,NIH ORG_DEPT (contact PI),n/a,1853585.0,603162.0,1635516.0,567424.0,32.5,True,41,46,46
FY2021_FY2025,39,IPF4679701,UNIVERSITY OF LOUISVILLE,University of Louisville,23385039.0,35,13,11348774.0,23,0,11,NIH ORG_DEPT (contact PI),n/a,2125913.0,1031707.0,1798849.0,668144.0,48.5,True,42,41,40
FY2021_FY2025,40,IPF7575301,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MUSC,22313446.0,50,21,17310335.0,33,0,15,NIH ORG_DEPT (contact PI),n/a,1487563.0,1154022.0,1062545.0,446269.0,77.6,True,40,34,35
FY2021_FY2025,41,IPF490201,UNIVERSITY OF ARIZONA,University of Arizona,20218407.0,59,16,14021917.0,27,0,22,NIH ORG_DEPT (contact PI),n/a,919018.0,637360.0,1263650.0,342685.0,69.4,True,36,37,36
