period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,rank_total_funding_if_single_entity,rank_award_years_if_single_entity,rank_distinct_projects_if_single_entity,rank_r01_funding_if_single_entity,rank_r01_award_years_if_single_entity,rank_m_award_years_if_single_entity,is_ranked,n_ranked,rank_peer_set
FY2025,UNCLASSIFIED,MISCELLANEOUS,465028357.0,756,694,369939923.0,127541666.0,0,232187312.0,379,343,0.0,0,0,232187312.0,379,63110491.0,174,106945559.0,52,22792447.0,20,8873716.0,52,10419744.0,22,1987151.0,40,0.0,0,18711937.0,17,0.0,0,232841045.0,377,881,591,527841.0,670070.0,615117.0,263550.0,0.79,49.9,,,,,,,False,,,,,,,,False,44,NIH department values with a recorded department
FY2025,QUANTITATIVE,BIOSTATISTICS & OTHER MATH SCI,426489505.0,747,702,355528396.0,117180678.0,0,170096687.0,323,305,0.0,0,0,170096687.0,323,69957049.0,186,149112075.0,95,6302641.0,3,5338863.0,36,14180910.0,30,2555000.0,64,0.0,0,8946280.0,10,0.0,0,256392818.0,424,894,599,477058.0,607535.0,570936.0,190265.0,0.79,39.9,21.0,23.0,24.0,24.0,24.0,1.0,True,30.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,OTHER BASIC SCIENCES,407187577.0,767,743,289254210.0,127750757.0,0,205873821.0,387,376,0.0,0,0,205873821.0,387,91720333.0,206,55263104.0,46,36290970.0,18,5376454.0,31,5152566.0,14,2737734.0,56,0.0,0,4772595.0,9,0.0,0,201313756.0,380,766,599,531576.0,548032.0,530883.0,268765.0,0.97,50.6,22.0,22.0,21.0,22.0,23.0,1.0,True,22.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,OTHER_HEALTH_PROF,OTHER HEALTH PROFESSIONS,393173018.0,793,740,301784520.0,106269777.0,0,234747448.0,404,365,0.0,0,0,234747448.0,404,56898762.0,166,56054847.0,29,14452339.0,10,13488194.0,90,10287736.0,29,2728156.0,58,0.0,0,4515536.0,7,0.0,0,158425570.0,389,904,645,434926.0,531315.0,495805.0,259676.0,0.82,59.7,23.0,21.0,22.0,20.0,22.0,1.0,True,38.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,OPHTHALMIC_SURGERY,OPHTHALMOLOGY,347996040.0,739,708,253641213.0,103193105.0,0,230194797.0,456,435,0.0,0,0,230194797.0,456,30818049.0,100,30669874.0,33,19103117.0,27,13486436.0,60,5898132.0,35,960940.0,19,0.0,0,16864695.0,9,0.0,0,117801243.0,283,654,490,532104.0,491520.0,470901.0,351980.0,1.08,66.1,24.0,24.0,23.0,21.0,20.0,1.0,True,21.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,OBGYN,OBSTETRICS & GYNECOLOGY,289408760.0,508,469,218292183.0,80270788.0,0,144966653.0,247,231,0.0,0,0,144966653.0,247,25221034.0,78,76374604.0,75,15459596.0,9,19861017.0,74,3077898.0,8,524750.0,12,0.0,0,3923208.0,5,0.0,0,144442107.0,261,543,355,532981.0,617076.0,569702.0,266974.0,0.86,50.1,25.0,25.0,25.0,26.0,26.0,1.0,True,20.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,NEUROSURGERY,NEUROSURGERY,247507428.0,439,417,180739603.0,75028971.0,0,134078469.0,258,246,0.0,0,0,134078469.0,258,25233428.0,50,60807693.0,62,14336657.0,8,6409336.0,30,2106508.0,5,1073361.0,22,0.0,0,3461976.0,4,0.0,0,113428959.0,181,462,312,535730.0,593543.0,563798.0,290213.0,0.9,54.2,26.0,28.0,28.0,27.0,25.0,1.0,True,18.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,ANESTHESIOLOGY,ANESTHESIOLOGY,244346503.0,444,434,175340421.0,71118189.0,0,148476330.0,245,240,0.0,0,0,148476330.0,245,35338820.0,83,31309965.0,20,5855879.0,2,12918066.0,56,8361045.0,23,742840.0,13,0.0,0,1343558.0,2,0.0,0,95870173.0,199,457,323,534675.0,563010.0,550330.0,324894.0,0.95,60.8,27.0,27.0,27.0,25.0,27.0,1.0,True,19.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,VETERINARY,VETERINARY SCIENCES,217938206.0,398,382,158546183.0,63536628.0,0,108889852.0,189,181,0.0,0,0,108889852.0,189,35366212.0,108,22038632.0,26,40731744.0,13,2269362.0,15,6930512.0,26,1012703.0,19,0.0,0,699189.0,2,0.0,0,109048354.0,209,417,309,522634.0,570519.0,547583.0,261127.0,0.92,50.0,28.0,29.0,29.0,28.0,29.0,1.0,True,25.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,DENTISTRY,DENTISTRY,200024806.0,457,440,148519574.0,57979878.0,0,103072002.0,201,194,0.0,0,0,103072002.0,201,31509975.0,109,45155431.0,40,2347500.0,1,6563885.0,35,8928874.0,20,2221884.0,49,0.0,0,225255.0,2,0.0,0,96952804.0,256,453,346,441556.0,454602.0,437691.0,227532.0,0.97,51.5,29.0,26.0,26.0,30.0,28.0,1.0,True,36.0,,,,,,,True,44,NIH department values with a recorded department
