rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
21,IPF1450402,Minnesota,22491788.0,61.0,28.0,30.0,18.0,15178820.0,0.0,FY2021_FY2025,corroborated,79383685.0,101.0,56.0,1249544.0,368718.0,803278.0,67.5,3.53,True
22,IPF1526402,Virginia,17907905.0,44.0,19.0,24.0,12.0,12767999.0,0.0,FY2021_FY2025,corroborated,41520005.0,75.0,35.0,1492325.0,406998.0,942521.0,71.3,2.32,True
23,IPF578407,MD Anderson,17056742.0,38.0,17.0,24.0,8.0,12423591.0,0.0,FY2021_FY2025,corroborated,52041565.0,105.0,43.0,2132093.0,448862.0,1003338.0,72.8,3.05,True
24,IPF1199905,Colorado Denver,15784721.0,55.0,19.0,23.0,10.0,9169546.0,0.0,FY2021_FY2025,corroborated,33999309.0,74.0,31.0,1578472.0,286995.0,830775.0,58.1,2.15,True
25,IPF577806,Indiana Indianapolis,14936173.0,46.0,25.0,20.0,16.0,7696182.0,0.0,FY2021_FY2025,corroborated,33022579.0,76.0,33.0,933511.0,324699.0,597447.0,51.5,2.21,True
26,IPF578503,Wisconsin–Madison,14605660.0,33.0,16.0,10.0,11.0,6282100.0,0.0,FY2021_FY2025,corroborated,77380483.0,180.0,60.0,1327787.0,442596.0,912854.0,43.0,5.3,True
27,IPF577503,UC Davis,14506636.0,33.0,18.0,17.0,9.0,7351004.0,0.0,FY2021_FY2025,corroborated,42008545.0,67.0,19.0,1611848.0,439595.0,805924.0,50.7,2.9,True
28,IPF820104,Maryland Baltimore,11523801.0,25.0,12.0,21.0,8.0,10654856.0,0.0,FY2021_FY2025,corroborated,45150359.0,91.0,26.0,1440475.0,460952.0,960317.0,92.5,3.92,True
29,IPF5998304,NYU Grossman,10512207.0,24.0,12.0,14.0,10.0,9226812.0,0.0,FY2021_FY2025,corroborated,52970392.0,111.0,45.0,1051221.0,438009.0,876017.0,87.8,5.04,True
30,IPF7047101,Rochester,3257817.0,12.0,6.0,5.0,3.0,2250651.0,0.0,FY2021_FY2025,corroborated,48661784.0,63.0,22.0,1085939.0,271485.0,542970.0,69.1,14.94,True
