period,rank,is_ranked,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,48.0,True,IPF578002,UNIVERSITY OF MISSOURI-COLUMBIA,University of Missouri,12741428.0,32,13,11962886.0,25,0,9,NIH ORG_DEPT (contact PI),n/a,1415714.0,1329210.0,980110.0,398170.0,93.9,True,45.0,37.0,35.0
FY2021_FY2025,49.0,True,IPF9087701,UNIVERSITY OF WASHINGTON,University of Washington,11882323.0,34,9,4760496.0,12,0,9,NIH ORG_DEPT (contact PI),n/a,1320258.0,528944.0,1320258.0,349480.0,40.1,True,41.0,54.0,51.0
FY2021_FY2025,50.0,True,IPF577504,UNIVERSITY OF CALIFORNIA-IRVINE,UC Irvine,11147912.0,18,9,7673622.0,14,0,13,NIH ORG_DEPT (contact PI),n/a,857532.0,590279.0,1238657.0,619328.0,68.8,True,55.0,48.0,49.0
FY2021_FY2025,51.0,True,IPF513807,UNIVERSITY OF SOUTH FLORIDA,University of South Florida,10121246.0,31,15,6308212.0,20,0,10,NIH ORG_DEPT (contact PI),n/a,1012125.0,630821.0,674750.0,326492.0,62.3,True,47.0,51.0,41.0
FY2021_FY2025,52.0,True,IPF1274603,EAST TENNESSEE STATE UNIVERSITY,East Tennessee State,9442121.0,23,11,8201871.0,17,0,6,NIH ORG_DEPT (contact PI),n/a,1573687.0,1366978.0,858375.0,410527.0,86.9,True,52.0,46.0,47.0
FY2021_FY2025,53.0,True,IPF4689203,LOYOLA UNIVERSITY CHICAGO,Loyola University Chicago,9343980.0,34,17,5879071.0,13,0,13,NIH ORG_DEPT (contact PI),n/a,718768.0,452236.0,549646.0,274823.0,62.9,True,41.0,52.0,50.0
FY2021_FY2025,54.0,True,IPF1524003,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OU Health Sciences Center,8424703.0,17,7,6552505.0,11,0,5,NIH ORG_DEPT (contact PI),n/a,1684941.0,1310501.0,1203529.0,495571.0,77.8,True,56.0,50.0,52.0
FY2021_FY2025,55.0,True,IPF8738101,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont,7406669.0,20,8,5362549.0,10,0,9,NIH ORG_DEPT (contact PI),n/a,822963.0,595839.0,925834.0,370333.0,72.4,True,54.0,53.0,55.0
FY2021_FY2025,56.0,True,IPF3972901,UNIVERSITY OF IOWA,University of Iowa,6640966.0,9,4,2452366.0,4,0,6,NIH ORG_DEPT (contact PI),n/a,1106828.0,408728.0,1660242.0,737885.0,36.9,True,66.0,64.0,64.0
FY2021_FY2025,57.0,True,IPF894901,BOSTON UNIVERSITY MEDICAL CAMPUS,BU Medical Campus,5952794.0,21,9,2630087.0,10,0,10,NIH ORG_DEPT (contact PI),n/a,595279.0,263009.0,661422.0,283466.0,44.2,True,53.0,62.0,55.0
FY2021_FY2025,58.0,True,HARVARD_ENTITIES,Harvard University entities,Harvard University entities,5568374.0,14,5,4653474.0,9,0,5,NIH ORG_DEPT (contact PI),n/a,1113675.0,930695.0,1113675.0,397741.0,83.6,True,60.0,56.0,57.0
FY2021_FY2025,58.0,True,HMS,Harvard Medical School,Harvard Medical School,5568374.0,14,5,4653474.0,9,0,5,NIH ORG_DEPT (contact PI),n/a,1113675.0,930695.0,1113675.0,397741.0,83.6,True,60.0,56.0,57.0
FY2021_FY2025,60.0,True,IPF1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UConn Health,5316939.0,15,8,4058156.0,8,0,12,NIH ORG_DEPT (contact PI),n/a,443078.0,338180.0,664617.0,354463.0,76.3,True,59.0,59.0,59.0
FY2021_FY2025,61.0,True,IPF577703,UNIVERSITY OF ILLINOIS AT CHICAGO,Illinois Chicago,5119998.0,16,9,4564585.0,11,0,7,NIH ORG_DEPT (contact PI),n/a,731428.0,652084.0,568889.0,320000.0,89.2,True,58.0,58.0,52.0
FY2021_FY2025,62.0,True,IPF1523902,UNIVERSITY OF CINCINNATI,University of Cincinnati,4941099.0,17,8,1316100.0,4,0,8,NIH ORG_DEPT (contact PI),n/a,617637.0,164512.0,617637.0,290653.0,26.6,True,56.0,73.0,64.0
FY2021_FY2025,63.0,True,IPF578417,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,UTHealth Houston,4656817.0,11,3,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,1552272.0,0.0,1552272.0,423347.0,0.0,False,63.0,79.0,79.0
FY2021_FY2025,64.0,True,IPF218601,CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve,4178457.0,11,5,3684958.0,8,0,4,NIH ORG_DEPT (contact PI),n/a,1044614.0,921240.0,835691.0,379860.0,88.2,False,63.0,61.0,59.0
FY2021_FY2025,65.0,True,IPF578302,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,UTHSC Memphis,3703432.0,3,2,3703432.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,1851716.0,1851716.0,1851716.0,1234477.0,100.0,False,81.0,60.0,68.0
FY2021_FY2025,66.0,True,IPF578403,UNIVERSITY OF TEXAS AT AUSTIN,UT Austin,3172673.0,6,5,1715201.0,3,0,7,NIH ORG_DEPT (contact PI),n/a,453239.0,245029.0,634535.0,528779.0,54.1,True,69.0,68.0,68.0
FY2021_FY2025,67.0,True,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,3012291.0,5,2,2560634.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,753073.0,640158.0,1506146.0,602458.0,85.0,False,70.0,63.0,64.0
FY2021_FY2025,68.0,True,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,2680695.0,10,4,0.0,0,0,7,NIH ORG_DEPT (contact PI),n/a,382956.0,0.0,670174.0,268070.0,0.0,True,65.0,79.0,79.0
FY2021_FY2025,69.0,True,IPF6297007,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU,2614064.0,13,6,857480.0,3,0,7,NIH ORG_DEPT (contact PI),n/a,373438.0,122497.0,435677.0,201082.0,32.8,True,62.0,75.0,68.0
FY2021_FY2025,70.0,True,IPF10021612,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,UNM Health Sciences,2613286.0,7,4,2423242.0,6,0,4,NIH ORG_DEPT (contact PI),n/a,653322.0,605810.0,653322.0,373327.0,92.7,False,67.0,65.0,62.0
FY2021_FY2025,71.0,True,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,76.0,67.0,68.0
FY2021_FY2025,72.0,True,IPF8455007,ALBANY MEDICAL COLLEGE,Albany Medical College,1771288.0,5,2,1380095.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,590429.0,460032.0,885644.0,354258.0,77.9,False,70.0,71.0,68.0
FY2021_FY2025,73.0,True,IPF577902,LSU HEALTH SCIENCES CENTER,LSU Health New Orleans,1728598.0,5,2,1728598.0,5,0,3,NIH ORG_DEPT (contact PI),n/a,576199.0,576199.0,864299.0,345720.0,100.0,False,70.0,66.0,63.0
FY2021_FY2025,74.0,True,IPF1003201,BROWN UNIVERSITY,Brown University,1707931.0,3,1,1707931.0,3,0,1,NIH ORG_DEPT (contact PI),n/a,1707931.0,1707931.0,1707931.0,569310.0,100.0,False,81.0,69.0,68.0
FY2021_FY2025,75.0,True,IPF2869001,GEORGETOWN UNIVERSITY,Georgetown University,1541823.0,4,2,1541823.0,4,0,2,NIH ORG_DEPT (contact PI),n/a,770912.0,770912.0,770912.0,385456.0,100.0,False,76.0,70.0,64.0
FY2021_FY2025,76.0,True,IPF676605,AUGUSTA UNIVERSITY,Augusta University,1347334.0,2,1,1347334.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,1347334.0,1347334.0,1347334.0,673667.0,100.0,False,84.0,72.0,75.0
FY2021_FY2025,77.0,True,IPF4050801,THOMAS JEFFERSON UNIVERSITY,Thomas Jefferson University,1217371.0,5,2,1061371.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,608686.0,530686.0,608686.0,243474.0,87.2,False,70.0,74.0,68.0
FY2021_FY2025,78.0,True,IPF829903,UNIVERSITY OF NEVADA RENO,"University of Nevada, Reno",1119208.0,4,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1119208.0,0.0,1119208.0,279802.0,0.0,False,76.0,79.0,79.0
FY2021_FY2025,79.0,True,IPF10034169,RBHS-NEW JERSEY MEDICAL SCHOOL,Rutgers NJ Medical School,1021005.0,5,4,0.0,0,0,3,NIH ORG_DEPT (contact PI),n/a,340335.0,0.0,255251.0,204201.0,0.0,False,70.0,79.0,79.0
FY2021_FY2025,80.0,True,IPF2863301,GEORGE WASHINGTON UNIVERSITY,George Washington University,951309.0,3,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,237827.0,0.0,475654.0,317103.0,0.0,False,81.0,79.0,79.0
FY2021_FY2025,81.0,True,IPF8424601,TULANE UNIVERSITY OF LOUISIANA,Tulane,945314.0,4,2,586082.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,945314.0,586082.0,472657.0,236328.0,62.0,False,76.0,77.0,75.0
FY2021_FY2025,82.0,True,IPF5390304,UNIVERSITY OF MISSISSIPPI MED CTR,Mississippi Medical Center,943752.0,7,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,471876.0,0.0,471876.0,134822.0,0.0,False,67.0,79.0,79.0
FY2021_FY2025,83.0,True,IPF850903,UNIV OF MASSACHUSETTS MED SCH WORCESTER,UMass Chan Medical School,863108.0,5,2,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,431554.0,0.0,431554.0,172622.0,0.0,False,70.0,79.0,79.0
FY2021_FY2025,84.0,True,IPF578209,EAST CAROLINA UNIVERSITY,East Carolina University,754312.0,2,1,0.0,0,0,2,NIH ORG_DEPT (contact PI),n/a,377156.0,0.0,754312.0,377156.0,0.0,False,84.0,79.0,79.0
FY2021_FY2025,85.0,True,IPF578418,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,UT Health San Antonio,750022.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,750022.0,0.0,750022.0,750022.0,0.0,False,89.0,79.0,79.0
FY2021_FY2025,86.0,True,IPF513809,FLORIDA INTERNATIONAL UNIVERSITY,Florida International,709718.0,1,1,709718.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,709718.0,709718.0,709718.0,709718.0,100.0,False,89.0,76.0,77.0
FY2021_FY2025,87.0,True,IPF1484303,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas Medical Center,474168.0,1,1,474168.0,1,0,1,NIH ORG_DEPT (contact PI),n/a,474168.0,474168.0,474168.0,474168.0,100.0,False,89.0,78.0,77.0
FY2021_FY2025,88.0,True,IPF8240301,TEMPLE UNIV OF THE COMMONWEALTH,Temple University,451734.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,451734.0,0.0,451734.0,225867.0,0.0,False,84.0,79.0,79.0
FY2021_FY2025,89.0,True,IPF5992619,UPSTATE MEDICAL UNIVERSITY,SUNY Upstate,448250.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,448250.0,0.0,448250.0,224125.0,0.0,False,84.0,79.0,79.0
FY2021_FY2025,90.0,True,IPF8285902,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,Texas Tech Health Sciences,438087.0,2,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,438087.0,0.0,438087.0,219044.0,0.0,False,84.0,79.0,79.0
FY2021_FY2025,91.0,True,IPF8721001,VANDERBILT UNIVERSITY,Vanderbilt University,417500.0,4,3,0.0,0,0,5,NIH ORG_DEPT (contact PI),n/a,83500.0,0.0,139167.0,104375.0,0.0,True,76.0,79.0,79.0
FY2021_FY2025,92.0,True,IPF578705,UNIVERSITY OF PUERTO RICO MED SCIENCES,Puerto Rico Medical Sciences,243119.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,243119.0,0.0,243119.0,243119.0,0.0,False,89.0,79.0,79.0
FY2021_FY2025,93.0,True,IPF10034170,RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,Rutgers RWJ Medical School,66390.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,66390.0,0.0,66390.0,66390.0,0.0,False,89.0,79.0,79.0
FY2021_FY2025,94.0,True,IPF130401,UNIVERSITY OF SOUTH ALABAMA,University of South Alabama,1.0,1,1,0.0,0,0,1,NIH ORG_DEPT (contact PI),n/a,1.0,0.0,1.0,1.0,0.0,False,89.0,79.0,79.0
