period,entity,nih_org_dept,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,r01_distinct_projects,m_award_years,m_distinct_projects,funded_investigators
FY2024_FY2025,IPF1504801,PSYCHIATRY,7931889.0,9,4,7719499.0,7,3,0,0,4
FY2024_FY2025,IPF1504801,RADIATION-DIAGNOSTIC/ONCOLOGY,22080331.0,31,20,14923656.0,26,16,0,0,8
FY2024_FY2025,IPF1504801,SURGERY,32008908.0,57,34,27211185.0,41,23,0,0,18
FY2024_FY2025,IPF1504801,UROLOGY,9588423.0,12,6,6900335.0,10,5,0,0,3
FY2024_FY2025,IPF5079202,DERMATOLOGY,1803429.0,7,4,1317520.0,3,1,0,0,2
FY2024_FY2025,IPF5079202,INTERNAL MEDICINE/MEDICINE,116040750.0,187,108,57701986.0,94,55,0,0,77
FY2024_FY2025,IPF5079202,NEUROLOGY,3858491.0,8,5,2342653.0,4,2,0,0,5
FY2024_FY2025,IPF5079202,NEUROSURGERY,1277646.0,2,1,1277646.0,2,1,0,0,1
FY2024_FY2025,IPF5079202,OTHER BASIC SCIENCES,105517703.0,178,106,66992727.0,112,64,0,0,65
FY2024_FY2025,IPF5079202,PATHOLOGY,7762884.0,13,9,4178211.0,4,4,0,0,6
FY2024_FY2025,IPF5079202,PEDIATRICS,3493254.0,6,3,1538728.0,2,1,0,0,3
FY2024_FY2025,IPF5079202,PLASTIC SURGERY,4193197.0,8,6,2456423.0,4,2,0,0,3
FY2024_FY2025,IPF5079202,PSYCHIATRY,14137628.0,28,18,8187347.0,13,9,0,0,15
FY2024_FY2025,IPF5079202,PUBLIC HEALTH & PREV MEDICINE,11029292.0,22,13,5393667.0,11,7,0,0,11
FY2024_FY2025,IPF5079202,RADIATION-DIAGNOSTIC/ONCOLOGY,31633973.0,53,28,20007136.0,33,18,0,0,15
FY2024_FY2025,IPF5079202,SURGERY,45977747.0,27,16,8672341.0,14,8,0,0,14
FY2024_FY2025,IPF5079202,UROLOGY,3825510.0,10,5,1930401.0,4,2,0,0,5
FY2024_FY2025,IPF615001,ANESTHESIOLOGY,3188166.0,10,7,2273337.0,5,3,0,0,5
FY2024_FY2025,IPF615001,EMERGENCY MEDICINE,2191435.0,5,3,1566181.0,2,1,0,0,3
FY2024_FY2025,IPF615001,INTERNAL MEDICINE/MEDICINE,128956048.0,217,127,69310925.0,117,69,0,0,82
FY2024_FY2025,IPF615001,NEUROLOGY,2804228.0,6,5,1644027.0,4,4,0,0,4
FY2024_FY2025,IPF615001,NEUROSURGERY,1924473.0,4,2,1150466.0,2,1,0,0,2
FY2024_FY2025,IPF615001,OPHTHALMOLOGY,3074416.0,7,6,2196219.0,5,4,0,0,4
FY2024_FY2025,IPF615001,OTHER BASIC SCIENCES,23168951.0,45,30,12317286.0,20,11,0,0,24
FY2024_FY2025,IPF615001,PEDIATRICS,100788767.0,162,99,68405659.0,108,64,0,0,63
FY2024_FY2025,IPF615001,PLASTIC SURGERY,5485469.0,9,7,4363171.0,7,5,0,0,2
FY2024_FY2025,IPF615001,PSYCHIATRY,6317894.0,7,4,2693158.0,4,2,0,0,3
FY2024_FY2025,IPF615001,PUBLIC HEALTH & PREV MEDICINE,17626651.0,9,6,1369514.0,2,1,0,0,6
FY2024_FY2025,IPF615001,RADIATION-DIAGNOSTIC/ONCOLOGY,1845393.0,3,3,1203393.0,2,2,0,0,3
FY2024_FY2025,IPF615001,SURGERY,2623291.0,5,3,2623291.0,5,3,0,0,3
FY2024_FY2025,DFCI,BIOSTATISTICS & OTHER MATH SCI,40246931.0,27,17,7959359.0,15,9,0,0,12
FY2024_FY2025,DFCI,INTERNAL MEDICINE/MEDICINE,220377029.0,287,163,67127354.0,112,61,0,0,121
FY2024_FY2025,DFCI,OTHER BASIC SCIENCES,24497845.0,43,29,17935850.0,27,16,0,0,21
FY2024_FY2025,DFCI,PATHOLOGY,4531393.0,12,8,1822703.0,3,2,0,0,5
FY2024_FY2025,DFCI,PUBLIC HEALTH & PREV MEDICINE,3861057.0,14,4,3202861.0,10,2,0,0,3
FY2024_FY2025,DFCI,RADIATION-DIAGNOSTIC/ONCOLOGY,11960440.0,23,15,8080343.0,15,10,0,0,8
FY2024_FY2025,IPF1499101,ANESTHESIOLOGY,12729512.0,32,23,8807059.0,13,9,0,0,17
FY2024_FY2025,IPF1499101,EMERGENCY MEDICINE,1777500.0,4,2,1346310.0,2,1,0,0,2
FY2024_FY2025,IPF1499101,INTERNAL MEDICINE/MEDICINE,96215486.0,176,104,40705866.0,70,40,0,0,74
FY2024_FY2025,IPF1499101,NEUROLOGY,16663721.0,35,22,5928975.0,9,5,0,0,13
FY2024_FY2025,IPF1499101,NEUROSURGERY,24471780.0,11,3,0.0,0,0,0,0,1
FY2024_FY2025,IPF1499101,OPHTHALMOLOGY,950970.0,2,2,0.0,0,0,0,0,2
FY2024_FY2025,IPF1499101,ORTHOPEDICS,6070857.0,13,8,5074351.0,10,6,0,0,4
FY2024_FY2025,IPF1499101,OTHER BASIC SCIENCES,28951356.0,48,32,17052036.0,22,15,0,0,24
FY2024_FY2025,IPF1499101,OTOLARYNGOLOGY,2387341.0,5,3,2029072.0,3,2,0,0,2
FY2024_FY2025,IPF1499101,PATHOLOGY,27206080.0,48,31,18950716.0,33,19,0,0,19
FY2024_FY2025,IPF1499101,PEDIATRICS,44857065.0,92,59,25546226.0,40,26,0,0,47
FY2024_FY2025,IPF1499101,PHYSICAL MEDICINE & REHAB,732380.0,1,1,732380.0,1,1,0,0,1
FY2024_FY2025,IPF1499101,PSYCHIATRY,16648058.0,19,12,8663673.0,12,7,0,0,11
FY2024_FY2025,IPF1499101,RADIATION-DIAGNOSTIC/ONCOLOGY,17579746.0,28,16,11003821.0,18,9,0,0,11
FY2024_FY2025,IPF1499101,SURGERY,16302616.0,11,6,2742245.0,4,3,0,0,3
FY2024_FY2025,IPF1499101,UROLOGY,2429603.0,5,3,1116037.0,2,1,0,0,2
FY2024_FY2025,BIDMC,ANESTHESIOLOGY,15206487.0,17,11,12003965.0,14,9,0,0,7
FY2024_FY2025,BIDMC,DERMATOLOGY,1.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,BIDMC,EMERGENCY MEDICINE,191193.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,BIDMC,INTERNAL MEDICINE/MEDICINE,134936906.0,246,152,95064659.0,154,95,0,0,86
FY2024_FY2025,BIDMC,NEUROLOGY,34985354.0,38,22,13729312.0,19,12,0,0,18
FY2024_FY2025,BIDMC,OBSTETRICS & GYNECOLOGY,3851962.0,9,5,2647957.0,4,2,0,0,4
FY2024_FY2025,BIDMC,ORTHOPEDICS,1651755.0,5,3,639383.0,1,1,0,0,2
FY2024_FY2025,BIDMC,OTHER BASIC SCIENCES,18348372.0,12,7,1723414.0,3,2,0,0,3
FY2024_FY2025,BIDMC,PATHOLOGY,21345818.0,36,23,12324163.0,20,14,0,0,18
FY2024_FY2025,BIDMC,PLASTIC SURGERY,3947516.0,4,2,868000.0,2,1,0,0,1
FY2024_FY2025,BIDMC,PSYCHIATRY,4445863.0,13,7,3798995.0,8,4,0,0,6
FY2024_FY2025,BIDMC,SURGERY,11658826.0,20,12,9166485.0,13,8,0,0,9
FY2024_FY2025,BIDMC,UROLOGY,2582595.0,5,3,2582595.0,5,3,0,0,2
FY2024_FY2025,IPF1225501,BIOSTATISTICS & OTHER MATH SCI,1629158.0,4,3,632610.0,1,1,0,0,3
FY2024_FY2025,IPF1225501,INTERNAL MEDICINE/MEDICINE,107622378.0,163,98,69785773.0,116,66,0,0,61
FY2024_FY2025,IPF1225501,NEUROLOGY,7193859.0,12,8,4116730.0,7,4,0,0,8
FY2024_FY2025,IPF1225501,NEUROSURGERY,8339150.0,15,10,4720866.0,10,6,0,0,6
FY2024_FY2025,IPF1225501,OBSTETRICS & GYNECOLOGY,423610.0,2,2,423610.0,2,2,0,0,2
FY2024_FY2025,IPF1225501,OPHTHALMOLOGY,3713078.0,9,5,3713078.0,9,5,0,0,1
FY2024_FY2025,IPF1225501,ORTHOPEDICS,1036360.0,2,1,1036360.0,2,1,0,0,1
FY2024_FY2025,IPF1225501,OTHER BASIC SCIENCES,5251213.0,10,8,4289475.0,7,5,0,0,4
FY2024_FY2025,IPF1225501,PATHOLOGY,7366163.0,11,6,7366163.0,11,6,0,0,5
FY2024_FY2025,IPF1225501,PEDIATRICS,7629853.0,7,6,2388976.0,4,4,0,0,2
FY2024_FY2025,IPF1225501,RADIATION-DIAGNOSTIC/ONCOLOGY,12000603.0,15,9,8595184.0,13,8,0,0,6
FY2024_FY2025,IPF1225501,SURGERY,1548555.0,2,2,1548555.0,2,2,0,0,2
FY2024_FY2025,IPF1225501,UROLOGY,12709883.0,27,16,11919067.0,25,14,0,0,9
FY2024_FY2025,IPF7893501,INTERNAL MEDICINE/MEDICINE,71300097.0,111,62,28271715.0,52,28,0,0,40
FY2024_FY2025,IPF7893501,OTHER BASIC SCIENCES,50613048.0,71,42,26380168.0,45,27,0,0,22
FY2024_FY2025,IPF7893501,PATHOLOGY,10797056.0,26,15,6142093.0,14,8,0,0,10
FY2024_FY2025,IPF7893501,PEDIATRICS,5227351.0,11,6,3919985.0,8,4,0,0,6
FY2024_FY2025,IPF7893501,PUBLIC HEALTH & PREV MEDICINE,21615381.0,21,11,7926519.0,11,6,0,0,8
FY2024_FY2025,IPF7893501,RADIATION-DIAGNOSTIC/ONCOLOGY,1364247.0,3,2,894735.0,1,1,0,0,2
FY2024_FY2025,IPF7893501,SURGERY,5540387.0,10,6,4002105.0,6,4,0,0,3
FY2024_FY2025,IPF1531401,ANESTHESIOLOGY,9326638.0,15,9,4800418.0,8,5,0,0,5
FY2024_FY2025,IPF1531401,INTERNAL MEDICINE/MEDICINE,63132921.0,95,56,42121239.0,51,28,0,0,36
FY2024_FY2025,IPF1531401,NEUROLOGY,112691.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1531401,OTHER BASIC SCIENCES,9790149.0,5,3,848274.0,1,1,0,0,2
FY2024_FY2025,IPF1531401,OTOLARYNGOLOGY,66030.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF1531401,PEDIATRICS,65533911.0,90,55,40857144.0,54,31,0,0,37
FY2024_FY2025,IPF1531401,PSYCHIATRY,2882001.0,5,3,1021649.0,1,1,0,0,3
FY2024_FY2025,IPF1531401,PUBLIC HEALTH & PREV MEDICINE,220000.0,1,1,0.0,0,0,0,0,1
FY2024_FY2025,IPF3058203,BIOSTATISTICS & OTHER MATH SCI,1000200.0,2,2,1000200.0,2,2,0,0,1
FY2024_FY2025,IPF3058203,INTERNAL MEDICINE/MEDICINE,55666120.0,102,62,32843475.0,55,33,0,0,43
FY2024_FY2025,IPF3058203,NEUROSURGERY,1581615.0,3,2,1581615.0,3,2,0,0,1
FY2024_FY2025,IPF3058203,OBSTETRICS & GYNECOLOGY,237924.0,1,1,0.0,0,0,0,0,1
