period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2024_FY2025,61,IPF218601,CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve,2507038.0,5,3,2507038.0,5,0,3,NIH ORG_DEPT (contact PI),n/a,835679.0,835679.0,835679.0,501408.0,100.0,False,60,55,55
FY2024_FY2025,62,IPF1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UConn Health,2207129.0,5,4,1988265.0,4,0,4,NIH ORG_DEPT (contact PI),n/a,551782.0,497066.0,551782.0,441426.0,90.1,False,60,58,57
FY2024_FY2025,63,IPF3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,Mount Sinai,1892627.0,4,4,1723152.0,3,0,3,NIH ORG_DEPT (contact PI),n/a,630876.0,574384.0,473157.0,473157.0,91.0,False,64,60,60
FY2024_FY2025,64,IPF1523902,UNIVERSITY OF CINCINNATI,University of Cincinnati,1874568.0,6,4,0.0,0,0,5,NIH ORG_DEPT (contact PI),n/a,374914.0,0.0,468642.0,312428.0,0.0,True,58,74,74
FY2024_FY2025,65,IPF577703,UNIVERSITY OF ILLINOIS AT CHICAGO,Illinois Chicago,1689152.0,4,3,1476104.0,3,0,2,NIH ORG_DEPT (contact PI),n/a,844576.0,738052.0,563051.0,422288.0,87.4,False,64,62,60
FY2024_FY2025,66,HMS,Harvard Medical School,Harvard Medical School,1345332.0,3,2,1213132.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,672666.0,606566.0,672666.0,448444.0,90.2,False,67,65,63
FY2024_FY2025,67,HARVARD_ENTITIES,Harvard University entities,Harvard University entities,1345332.0,3,2,1213132.0,2,0,2,NIH ORG_DEPT (contact PI),n/a,672666.0,606566.0,672666.0,448444.0,90.2,False,67,65,63
FY2024_FY2025,68,IPF578406,UNIVERSITY OF TEXAS MED BR GALVESTON,UTMB Galveston,1207428.0,4,2,0.0,0,0,4,NIH ORG_DEPT (contact PI),n/a,301857.0,0.0,603714.0,301857.0,0.0,False,64,74,74
FY2024_FY2025,69,IPF1003201,BROWN UNIVERSITY,Brown University,1100455.0,2,1,1100455.0,2,0,1,NIH ORG_DEPT (contact PI),n/a,1100455.0,1100455.0,1100455.0,550228.0,100.0,False,70,67,63
FY2024_FY2025,70,IPF5992614,STATE UNIVERSITY OF NEW YORK AT BUFFALO,University at Buffalo,1076755.0,2,2,625098.0,1,0,4,NIH ORG_DEPT (contact PI),n/a,269189.0,156274.0,538378.0,538378.0,58.1,False,70,71,68
